uid,name,shib_role,shib_title,orcid,college,department,nc_state_affiliations,works_count,open_access_works_count,sdg_work_count_by_wos_1,sdg_work_count_by_wos_2,sdg_work_count_by_wos_3,sdg_work_count_by_wos_4,sdg_work_count_by_wos_5,sdg_work_count_by_wos_6,sdg_work_count_by_wos_7,sdg_work_count_by_wos_8,sdg_work_count_by_wos_9,sdg_work_count_by_wos_10,sdg_work_count_by_wos_11,sdg_work_count_by_wos_12,sdg_work_count_by_wos_13,sdg_work_count_by_wos_14,sdg_work_count_by_wos_15,sdg_work_count_by_wos_16,sdg_work_count_by_wos_17
mtnance,Mark Nance,faculty,Assoc Professor,,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs],12,5,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,7,0
janolans,Jennifer Nolan,faculty,Assoc Professor,https://orcid.org/0000-0003-3125-4997,College of Humanities and Social Sciences,English,English,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ranunez,Robert Nunez,faculty,Lecturer,,College of Engineering,"Civil, Construction and Environmental Engineering","Civil, Construction and Environmental Engineering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmachad,Gustavo Machado,faculty,Assoc Professor,https://orcid.org/0000-0001-7552-6144,College of Veterinary Medicine,Population Health and Pathobiology,Center for Geospatial Analytics; Population Health and Pathobiology; Comparative Medicine Institute; Global One Health Academy,237,120,0,0,50,0,0,0,0,0,0,0,0,0,1,1,2,0,0
ksmulvey,Kelly Lynn Mulvey,faculty,Professor,https://orcid.org/0000-0002-1292-9066,College of Humanities and Social Sciences,Psychology,Psychology,275,66,0,0,32,17,1,0,0,0,0,29,0,0,0,0,0,0,0
jbelmon2,Julio Monti Belmonte,faculty,Asst Professor,https://orcid.org/0000-0002-4315-9631,College of Sciences,Physics,Physics,29,27,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acmyers3,Amanda Mills,faculty,Asst Professor,https://orcid.org/0000-0002-6971-1535,Wilson College of Textiles,"Textile Engineering, Chemistry and Science","Electrical and Computer Engineering; Mechanical and Aerospace Engineering; Textile Engineering, Chemistry and Science; Advanced Self Powered Systems of Sensors and Technologies Center",29,9,0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0
nmatsud,Noboru Matsuda,faculty,Assoc Professor,https://orcid.org/0000-0003-2344-1485,College of Engineering,Computer Science,Computer Science; Center for Educational Informatics; Computer Science; Digital Transformation of Education,82,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
bmmcconn,Brandon McConnell,faculty,Research Associate Professor,https://orcid.org/0000-0003-0091-215X,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering,Edward P. Fitts Department of Industrial & Systems Engineering; Center for Additive Manufacturing and Logistics; Operations Research,36,25,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
pmcavoy,Paula McAvoy,faculty,Assoc Professor,https://orcid.org/0000-0002-2407-9580,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences,22,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
mmarti24,Marion Martin,faculty,Assoc Teaching Professor,https://orcid.org/0000-0003-1465-0891,College of Sciences,Chemistry,Chemistry,25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
almakanu,Missy Makanui,faculty,Professor of the Practice,,Poole College of Management,"Management, Innovation and Entrepreneurship","Management, Innovation and Entrepreneurship",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmmoore4,Marguerite Moore,faculty,Professor,,Wilson College of Textiles,"Textile and Apparel, Technology and Management","Textile and Apparel, Technology and Management",19,7,0,1,2,1,0,0,0,1,2,0,0,1,1,1,1,0,1
mmmanfra,Meghan Manfra,faculty,Professor,https://orcid.org/0000-0002-7170-0800,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences; Advanced Self Powered Systems of Sensors and Technologies Center,47,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
rcmayer,Roger Mayer,faculty,Professor,https://orcid.org/0000-0001-8522-8036,Poole College of Management,"Management, Innovation and Entrepreneurship","Management, Innovation and Entrepreneurship",22,7,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
tamarini,ToniAnn Marini,faculty,Lecturer,,College of Engineering,Computer Science,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eamckenn,Erin McKenney,faculty,Assistant Professor | Director of Undergraduate Programs,https://orcid.org/0000-0001-9874-1146,College of Agriculture and Life Sciences,Applied Ecology,Applied Ecology,40,24,0,1,23,1,0,0,0,0,0,0,0,0,1,0,2,0,0
jwmille7,Jonathan Miller,faculty,Asst Teaching Professor,,College of Engineering,"Civil, Construction and Environmental Engineering","Civil, Construction and Environmental Engineering",5,2,0,0,1,0,0,2,0,0,0,0,0,0,1,4,3,0,0
mmcmull,Michelle McMullin,faculty,Asst Professor,https://orcid.org/0000-0002-9143-0449,College of Humanities and Social Sciences,English,English,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
slmille6,Steven Miller,faculty,Asst Teaching Professor,https://orcid.org/0009-0000-7845-6508,College of Education,"Science, Technology, Engineering, & Mathematics Education","Science, Technology, Engineering, & Mathematics Education",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zmitkov,Zlatin Mitkov,faculty,Asst Teaching Professor,https://orcid.org/0000-0002-7718-8633,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs],4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
dmoon3,Donghwan Moon,faculty,Asst Professor,,College of Design,Architecture,Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jdmannin,Joe Manning,faculty,Lecturer,,College of Engineering,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
jlmell,Julie Mell,faculty,Unpaid Collaborator,,College of Humanities and Social Sciences,History,History,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
